Sum of Total Revenue,Arrival date,forecastValue,confidenceHighBound,confidenceLowBound
13961,01-07-2017 00:00,,,
1419.5,02-07-2017 00:00,,,
778.89,03-07-2017 00:00,,,
799,04-07-2017 00:00,,,
573.18,05-07-2017 00:00,,,
3364.63,06-07-2017 00:00,,,
6332.35,07-07-2017 00:00,,,
3168,08-07-2017 00:00,,,
800.5,09-07-2017 00:00,,,
2186.95,10-07-2017 00:00,,,
10896.38,11-07-2017 00:00,,,
612,12-07-2017 00:00,,,
1058.25,13-07-2017 00:00,,,
1115.64,14-07-2017 00:00,,,
2739,15-07-2017 00:00,,,
1242,16-07-2017 00:00,,,
11170.72,17-07-2017 00:00,,,
7359.5,18-07-2017 00:00,,,
2270.1,19-07-2017 00:00,,,
1495.32,20-07-2017 00:00,,,
110.16,21-07-2017 00:00,,,
2678.92,22-07-2017 00:00,,,
485.4,23-07-2017 00:00,,,
382.5,24-07-2017 00:00,,,
7430.75,25-07-2017 00:00,,,
609.5,26-07-2017 00:00,,,
2771,27-07-2017 00:00,,,
1641.74,28-07-2017 00:00,,,
2654.87,29-07-2017 00:00,,,
743.24,30-07-2017 00:00,,,
3372.81,31-07-2017 00:00,,,
9252.75,01-08-2017 00:00,,,
535.5,02-08-2017 00:00,,,
3435,03-08-2017 00:00,,,
1286,04-08-2017 00:00,,,
9581.5,05-08-2017 00:00,,,
3536.99,06-08-2017 00:00,,,
5469,07-08-2017 00:00,,,
13197.75,08-08-2017 00:00,,,
6156.5,09-08-2017 00:00,,,
11914.84,10-08-2017 00:00,,,
11201.92,11-08-2017 00:00,,,
7113.04,12-08-2017 00:00,,,
7581.01,13-08-2017 00:00,,,
42229.99,14-08-2017 00:00,,,
13615.25,15-08-2017 00:00,,,
6343.41,16-08-2017 00:00,,,
15467.48,17-08-2017 00:00,,,
10246.71,18-08-2017 00:00,,,
9328.36,19-08-2017 00:00,,,
6855.32,20-08-2017 00:00,,,
10749.02,21-08-2017 00:00,,,
11491.24,22-08-2017 00:00,,,
5034.75,23-08-2017 00:00,,,
3783.5,24-08-2017 00:00,,,
3103.32,25-08-2017 00:00,,,
3846.7,26-08-2017 00:00,,,
4782.01,27-08-2017 00:00,,,
4150.8,28-08-2017 00:00,,,
12810.47,29-08-2017 00:00,,,
2282.97,30-08-2017 00:00,,,
9546.92,31-08-2017 00:00,,,
12115.5,01-09-2017 00:00,,,
7489.47,02-09-2017 00:00,,,
11316.09,03-09-2017 00:00,,,
28252.99,04-09-2017 00:00,,,
12825.97,05-09-2017 00:00,,,
3906.81,06-09-2017 00:00,,,
18723.91,07-09-2017 00:00,,,
13409.94,08-09-2017 00:00,,,
23355.4,09-09-2017 00:00,,,
11849.39,10-09-2017 00:00,,,
8286.71,11-09-2017 00:00,,,
10427.65,12-09-2017 00:00,,,
10481.99,13-09-2017 00:00,,,
20114.87,14-09-2017 00:00,,,
14659.83,15-09-2017 00:00,,,
13104.62,16-09-2017 00:00,,,
15704.34,17-09-2017 00:00,,,
41417.37,18-09-2017 00:00,,,
15683.41,19-09-2017 00:00,,,
22775.46,20-09-2017 00:00,,,
21677.95,21-09-2017 00:00,,,
13666.8,22-09-2017 00:00,,,
23743.97,23-09-2017 00:00,,,
13284.61,24-09-2017 00:00,,,
32726.4,25-09-2017 00:00,,,
8545.06,26-09-2017 00:00,,,
3188.58,27-09-2017 00:00,,,
5962.71,28-09-2017 00:00,,,
7434.94,29-09-2017 00:00,,,
23037.64,30-09-2017 00:00,,,
12312.26,01-10-2017 00:00,,,
33945.68,02-10-2017 00:00,,,
6137.44,03-10-2017 00:00,,,
20844.12,04-10-2017 00:00,,,
16672.24,05-10-2017 00:00,,,
24459.11,06-10-2017 00:00,,,
16533.32,07-10-2017 00:00,,,
15343.71,08-10-2017 00:00,,,
26590.67,09-10-2017 00:00,,,
14305.62,10-10-2017 00:00,,,
9120.38,11-10-2017 00:00,,,
24735.46,12-10-2017 00:00,,,
14348.37,13-10-2017 00:00,,,
5856.33,14-10-2017 00:00,,,
19086.49,15-10-2017 00:00,,,
44034.86,16-10-2017 00:00,,,
12512.84,17-10-2017 00:00,,,
16345.67,18-10-2017 00:00,,,
27382.55,19-10-2017 00:00,,,
16355.13,20-10-2017 00:00,,,
9517.85,21-10-2017 00:00,,,
8148.04,22-10-2017 00:00,,,
12643.17,23-10-2017 00:00,,,
7578.4,24-10-2017 00:00,,,
11518.55,25-10-2017 00:00,,,
11712.54,26-10-2017 00:00,,,
4372.22,27-10-2017 00:00,,,
6864.1,28-10-2017 00:00,,,
8575.42,29-10-2017 00:00,,,
11914.51,30-10-2017 00:00,,,
7938.92,31-10-2017 00:00,,,
6342.31,01-11-2017 00:00,,,
6828.51,02-11-2017 00:00,,,
4177.99,03-11-2017 00:00,,,
5783.36,04-11-2017 00:00,,,
4617.21,05-11-2017 00:00,,,
8426.4,06-11-2017 00:00,,,
2364.09,07-11-2017 00:00,,,
4243.74,08-11-2017 00:00,,,
5099.65,09-11-2017 00:00,,,
5055.33,10-11-2017 00:00,,,
4958.65,11-11-2017 00:00,,,
3840.45,12-11-2017 00:00,,,
5414.31,13-11-2017 00:00,,,
2910.36,14-11-2017 00:00,,,
2724.69,15-11-2017 00:00,,,
2545.27,16-11-2017 00:00,,,
4136.7,17-11-2017 00:00,,,
2672.3,18-11-2017 00:00,,,
3223.4,19-11-2017 00:00,,,
11849.71,20-11-2017 00:00,,,
1443.63,21-11-2017 00:00,,,
4540.7,22-11-2017 00:00,,,
3889.12,23-11-2017 00:00,,,
5571.79,24-11-2017 00:00,,,
2710.78,25-11-2017 00:00,,,
3799.52,26-11-2017 00:00,,,
3021.24,27-11-2017 00:00,,,
1906.39,28-11-2017 00:00,,,
860.5,29-11-2017 00:00,,,
2289.06,30-11-2017 00:00,,,
3590.9,01-12-2017 00:00,,,
1696.3,02-12-2017 00:00,,,
7010.34,03-12-2017 00:00,,,
19654.19,04-12-2017 00:00,,,
17155.8,05-12-2017 00:00,,,
3490.22,06-12-2017 00:00,,,
381.5,07-12-2017 00:00,,,
1488.09,08-12-2017 00:00,,,
7826.2,09-12-2017 00:00,,,
2847.36,10-12-2017 00:00,,,
2970.65,11-12-2017 00:00,,,
1139.25,12-12-2017 00:00,,,
1070.59,13-12-2017 00:00,,,
1137.72,14-12-2017 00:00,,,
1678.24,15-12-2017 00:00,,,
1411.4,16-12-2017 00:00,,,
2576.63,17-12-2017 00:00,,,
3377.76,18-12-2017 00:00,,,
3811.2,19-12-2017 00:00,,,
2048.98,20-12-2017 00:00,,,
2061,21-12-2017 00:00,,,
1815.28,22-12-2017 00:00,,,
6264.37,23-12-2017 00:00,,,
4196.15,24-12-2017 00:00,,,
4255.87,25-12-2017 00:00,,,
14990.91,26-12-2017 00:00,,,
13353.64,27-12-2017 00:00,,,
13050.39,28-12-2017 00:00,,,
28566.85,29-12-2017 00:00,,,
30048.16,30-12-2017 00:00,,,
15440.28,31-12-2017 00:00,,,
6632.07,01-01-2018 00:00,,,
20737.98,02-01-2018 00:00,,,
6041.19,03-01-2018 00:00,,,
5856.07,04-01-2018 00:00,,,
2189.4,05-01-2018 00:00,,,
3200.35,06-01-2018 00:00,,,
3328.99,07-01-2018 00:00,,,
6434.31,08-01-2018 00:00,,,
2146.29,09-01-2018 00:00,,,
8276.64,10-01-2018 00:00,,,
1720.31,11-01-2018 00:00,,,
3295.63,12-01-2018 00:00,,,
3727.28,13-01-2018 00:00,,,
8378.78,14-01-2018 00:00,,,
10745.23,15-01-2018 00:00,,,
7311.85,16-01-2018 00:00,,,
4929.19,17-01-2018 00:00,,,
5708.93,18-01-2018 00:00,,,
21847.42,19-01-2018 00:00,,,
8361.14,20-01-2018 00:00,,,
3289.8,21-01-2018 00:00,,,
5286.67,22-01-2018 00:00,,,
2862.52,23-01-2018 00:00,,,
7075.26,24-01-2018 00:00,,,
10966.4,25-01-2018 00:00,,,
4139.68,26-01-2018 00:00,,,
8059.56,27-01-2018 00:00,,,
7726.28,28-01-2018 00:00,,,
8883.78,29-01-2018 00:00,,,
7033.94,30-01-2018 00:00,,,
4790.55,31-01-2018 00:00,,,
7887.05,01-02-2018 00:00,,,
2094.7,02-02-2018 00:00,,,
11373.25,03-02-2018 00:00,,,
10122.56,04-02-2018 00:00,,,
17641.05,05-02-2018 00:00,,,
12424.31,06-02-2018 00:00,,,
12474.96,07-02-2018 00:00,,,
12446.37,08-02-2018 00:00,,,
5922.15,09-02-2018 00:00,,,
10030.67,10-02-2018 00:00,,,
9496.24,11-02-2018 00:00,,,
26641.02,12-02-2018 00:00,,,
16094.59,13-02-2018 00:00,,,
14934.12,14-02-2018 00:00,,,
10380.4,15-02-2018 00:00,,,
6075.4,16-02-2018 00:00,,,
18593.72,17-02-2018 00:00,,,
11183.13,18-02-2018 00:00,,,
25244.52,19-02-2018 00:00,,,
11301.51,20-02-2018 00:00,,,
10552.58,21-02-2018 00:00,,,
15194.16,22-02-2018 00:00,,,
10205.69,23-02-2018 00:00,,,
11629.75,24-02-2018 00:00,,,
11354.73,25-02-2018 00:00,,,
15634.72,26-02-2018 00:00,,,
27040.94,27-02-2018 00:00,,,
36165.67,28-02-2018 00:00,,,
13918.59,01-03-2018 00:00,,,
15360.07,02-03-2018 00:00,,,
21013.48,03-03-2018 00:00,,,
22196.03,04-03-2018 00:00,,,
21324.01,05-03-2018 00:00,,,
11281.6,06-03-2018 00:00,,,
20545.54,07-03-2018 00:00,,,
14401.95,08-03-2018 00:00,,,
13401.78,09-03-2018 00:00,,,
20572.21,10-03-2018 00:00,,,
25609.14,11-03-2018 00:00,,,
16158.54,12-03-2018 00:00,,,
18700.66,13-03-2018 00:00,,,
14710.53,14-03-2018 00:00,,,
15397.05,15-03-2018 00:00,,,
12339.26,16-03-2018 00:00,,,
28381.47,17-03-2018 00:00,,,
20604.8,18-03-2018 00:00,,,
20428.38,19-03-2018 00:00,,,
36709.25,20-03-2018 00:00,,,
23897.04,21-03-2018 00:00,,,
17663.25,22-03-2018 00:00,,,
22554.05,23-03-2018 00:00,,,
36836.58,24-03-2018 00:00,,,
58215.75,25-03-2018 00:00,,,
23363.62,26-03-2018 00:00,,,
19442,27-03-2018 00:00,,,
30738.87,28-03-2018 00:00,,,
21700.9,29-03-2018 00:00,,,
23530.39,30-03-2018 00:00,,,
23623.12,31-03-2018 00:00,,,
23620.8,01-04-2018 00:00,,,
18821.07,02-04-2018 00:00,,,
20987.19,03-04-2018 00:00,,,
29270.19,04-04-2018 00:00,,,
13522.33,05-04-2018 00:00,,,
27305.57,06-04-2018 00:00,,,
22715.62,07-04-2018 00:00,,,
31662.55,08-04-2018 00:00,,,
26697.33,09-04-2018 00:00,,,
27952.22,10-04-2018 00:00,,,
35061.31,11-04-2018 00:00,,,
27129.32,12-04-2018 00:00,,,
22236.13,13-04-2018 00:00,,,
22982.08,14-04-2018 00:00,,,
33909.57,15-04-2018 00:00,,,
27639.66,16-04-2018 00:00,,,
35044.94,17-04-2018 00:00,,,
25611.76,18-04-2018 00:00,,,
21130.47,19-04-2018 00:00,,,
26913.52,20-04-2018 00:00,,,
26398.59,21-04-2018 00:00,,,
38844.25,22-04-2018 00:00,,,
31892.73,23-04-2018 00:00,,,
32097.43,24-04-2018 00:00,,,
30857.53,25-04-2018 00:00,,,
23421.76,26-04-2018 00:00,,,
32481.58,27-04-2018 00:00,,,
33570.53,28-04-2018 00:00,,,
37228.58,29-04-2018 00:00,,,
28750.33,30-04-2018 00:00,,,
22422.08,01-05-2018 00:00,,,
34835.07,02-05-2018 00:00,,,
17568.79,03-05-2018 00:00,,,
26202.7,04-05-2018 00:00,,,
37486.39,05-05-2018 00:00,,,
23827.74,06-05-2018 00:00,,,
28716.62,07-05-2018 00:00,,,
19510.33,08-05-2018 00:00,,,
50993.52,09-05-2018 00:00,,,
30789.04,10-05-2018 00:00,,,
22019.76,11-05-2018 00:00,,,
27428.87,12-05-2018 00:00,,,
65791.25,13-05-2018 00:00,,,
17144.83,14-05-2018 00:00,,,
31912.9,15-05-2018 00:00,,,
24254.57,16-05-2018 00:00,,,
36956.18,17-05-2018 00:00,,,
13121.76,18-05-2018 00:00,,,
36285.72,19-05-2018 00:00,,,
37750.86,20-05-2018 00:00,,,
42812.08,21-05-2018 00:00,,,
30967.35,22-05-2018 00:00,,,
17160.24,23-05-2018 00:00,,,
17227.26,24-05-2018 00:00,,,
14455.15,25-05-2018 00:00,,,
13767.8,26-05-2018 00:00,,,
16706.12,27-05-2018 00:00,,,
13280.84,28-05-2018 00:00,,,
41647.61,29-05-2018 00:00,,,
26096.15,30-05-2018 00:00,,,
35338.77,31-05-2018 00:00,,,
21471.21,01-06-2018 00:00,,,
45707.04,02-06-2018 00:00,,,
29330.14,03-06-2018 00:00,,,
16033.78,04-06-2018 00:00,,,
14836.71,05-06-2018 00:00,,,
48304.74,06-06-2018 00:00,,,
36901.45,07-06-2018 00:00,,,
36045.45,08-06-2018 00:00,,,
32764.08,09-06-2018 00:00,,,
41571.44,10-06-2018 00:00,,,
10594.67,11-06-2018 00:00,,,
76709.74,12-06-2018 00:00,,,
23032.54,13-06-2018 00:00,,,
55666.24,14-06-2018 00:00,,,
58056.08,15-06-2018 00:00,,,
30590.13,16-06-2018 00:00,,,
50375.7,17-06-2018 00:00,,,
18070.16,18-06-2018 00:00,,,
29842.82,19-06-2018 00:00,,,
45748.79,20-06-2018 00:00,,,
16195.82,21-06-2018 00:00,,,
12513.44,22-06-2018 00:00,,,
7021.02,23-06-2018 00:00,,,
44356.49,24-06-2018 00:00,,,
3608.18,25-06-2018 00:00,,,
55232.63,26-06-2018 00:00,,,
35503.88,27-06-2018 00:00,,,
39090.39,28-06-2018 00:00,,,
22957.28,29-06-2018 00:00,,,
32170.38,30-06-2018 00:00,,,
38748.16,01-07-2018 00:00,,,
31405.75,02-07-2018 00:00,,,
38338.12,03-07-2018 00:00,,,
34904.71,04-07-2018 00:00,,,
28064.14,05-07-2018 00:00,,,
67508.29,06-07-2018 00:00,,,
30690.74,07-07-2018 00:00,,,
28896.14,08-07-2018 00:00,,,
26682.86,09-07-2018 00:00,,,
28194.43,10-07-2018 00:00,,,
40204.39,11-07-2018 00:00,,,
28420.59,12-07-2018 00:00,,,
38181.18,13-07-2018 00:00,,,
29711.65,14-07-2018 00:00,,,
23964.4,15-07-2018 00:00,,,
33605.98,16-07-2018 00:00,,,
27572.53,17-07-2018 00:00,,,
47015.3,18-07-2018 00:00,,,
19378.41,19-07-2018 00:00,,,
16797.55,20-07-2018 00:00,,,
36483.26,21-07-2018 00:00,,,
18150.2,22-07-2018 00:00,,,
42768.21,23-07-2018 00:00,,,
29002.81,24-07-2018 00:00,,,
38051.5,25-07-2018 00:00,,,
22597.64,26-07-2018 00:00,,,
27066.44,27-07-2018 00:00,,,
19462.17,28-07-2018 00:00,,,
16136.59,29-07-2018 00:00,,,
40563.93,30-07-2018 00:00,,,
28486.38,31-07-2018 00:00,,,
53098.38,01-08-2018 00:00,,,
30132.32,02-08-2018 00:00,,,
43738.01,03-08-2018 00:00,,,
26312.04,04-08-2018 00:00,,,
27741.5,05-08-2018 00:00,,,
32445.02,06-08-2018 00:00,,,
31569.91,07-08-2018 00:00,,,
55520.85,08-08-2018 00:00,,,
32857.39,09-08-2018 00:00,,,
21899.74,10-08-2018 00:00,,,
26370.09,11-08-2018 00:00,,,
33756.81,12-08-2018 00:00,,,
45922.04,13-08-2018 00:00,,,
43188.81,14-08-2018 00:00,,,
40029.24,15-08-2018 00:00,,,
33156.96,16-08-2018 00:00,,,
28958.51,17-08-2018 00:00,,,
33252.33,18-08-2018 00:00,,,
49392.07,19-08-2018 00:00,,,
37630.99,20-08-2018 00:00,,,
39583.99,21-08-2018 00:00,,,
49944.81,22-08-2018 00:00,,,
35222.55,23-08-2018 00:00,,,
38345.18,24-08-2018 00:00,,,
29187.33,25-08-2018 00:00,,,
36215.37,26-08-2018 00:00,,,
21047.21,27-08-2018 00:00,,,
41044.96,28-08-2018 00:00,,,
39042.61,29-08-2018 00:00,,,
31367.13,30-08-2018 00:00,,,
29462.38,31-08-2018 00:00,,,
35363.77,01-09-2018 00:00,,,
36493.51,02-09-2018 00:00,,,
36078.81,03-09-2018 00:00,,,
39667.82,04-09-2018 00:00,,,
52641.89,05-09-2018 00:00,,,
34268.82,06-09-2018 00:00,,,
22629.19,07-09-2018 00:00,,,
46815.96,08-09-2018 00:00,,,
31177.81,09-09-2018 00:00,,,
20163.7,10-09-2018 00:00,,,
33661.87,11-09-2018 00:00,,,
34575.79,12-09-2018 00:00,,,
33969.88,13-09-2018 00:00,,,
22273.14,14-09-2018 00:00,,,
58030.98,15-09-2018 00:00,,,
35551.39,16-09-2018 00:00,,,
23269.46,17-09-2018 00:00,,,
42052.34,18-09-2018 00:00,,,
48710.38,19-09-2018 00:00,,,
36944.28,20-09-2018 00:00,,,
37234.9,21-09-2018 00:00,,,
41569.01,22-09-2018 00:00,,,
22261.62,23-09-2018 00:00,,,
27414.49,24-09-2018 00:00,,,
39905.23,25-09-2018 00:00,,,
55249.24,26-09-2018 00:00,,,
24641.22,27-09-2018 00:00,,,
29565.89,28-09-2018 00:00,,,
34904.28,29-09-2018 00:00,,,
51182.99,30-09-2018 00:00,,,
24814.39,01-10-2018 00:00,,,
40229.72,02-10-2018 00:00,,,
49466.13,03-10-2018 00:00,,,
47323.5,04-10-2018 00:00,,,
40557.27,05-10-2018 00:00,,,
35375.27,06-10-2018 00:00,,,
45727.35,07-10-2018 00:00,,,
18550.14,08-10-2018 00:00,,,
29531.04,09-10-2018 00:00,,,
46903.84,10-10-2018 00:00,,,
25964.07,11-10-2018 00:00,,,
41279.26,12-10-2018 00:00,,,
66931.44,13-10-2018 00:00,,,
47426.26,14-10-2018 00:00,,,
34753.02,15-10-2018 00:00,,,
48990.12,16-10-2018 00:00,,,
41126.82,17-10-2018 00:00,,,
20836.86,18-10-2018 00:00,,,
29494.34,19-10-2018 00:00,,,
32897.25,20-10-2018 00:00,,,
36553.51,21-10-2018 00:00,,,
31430.11,22-10-2018 00:00,,,
36506.94,23-10-2018 00:00,,,
25294.66,24-10-2018 00:00,,,
27779.39,25-10-2018 00:00,,,
21453.05,26-10-2018 00:00,,,
22774.36,27-10-2018 00:00,,,
44384.79,28-10-2018 00:00,,,
42737.78,29-10-2018 00:00,,,
42251.33,30-10-2018 00:00,,,
28264.16,31-10-2018 00:00,,,
54907.61,01-11-2018 00:00,,,
32578.9,02-11-2018 00:00,,,
40685.59,03-11-2018 00:00,,,
45912.15,04-11-2018 00:00,,,
20541.24,05-11-2018 00:00,,,
48710.01,06-11-2018 00:00,,,
47598.62,07-11-2018 00:00,,,
10456.92,08-11-2018 00:00,,,
11750.97,09-11-2018 00:00,,,
16159.28,10-11-2018 00:00,,,
33542.4,11-11-2018 00:00,,,
24813.42,12-11-2018 00:00,,,
29728.65,13-11-2018 00:00,,,
24717.01,14-11-2018 00:00,,,
12501.49,15-11-2018 00:00,,,
24381.91,16-11-2018 00:00,,,
20375.69,17-11-2018 00:00,,,
32423.06,18-11-2018 00:00,,,
20543.88,19-11-2018 00:00,,,
16976.56,20-11-2018 00:00,,,
14294.76,21-11-2018 00:00,,,
10951.31,22-11-2018 00:00,,,
13776.69,23-11-2018 00:00,,,
12717.31,24-11-2018 00:00,,,
26738.43,25-11-2018 00:00,,,
8785.28,26-11-2018 00:00,,,
17735.97,27-11-2018 00:00,,,
8826.08,28-11-2018 00:00,,,
10157.98,29-11-2018 00:00,,,
7518.82,30-11-2018 00:00,,,
23397.83,01-12-2018 00:00,,,
34136.48,02-12-2018 00:00,,,
26918.94,03-12-2018 00:00,,,
20776.75,04-12-2018 00:00,,,
17910.94,05-12-2018 00:00,,,
17197.27,06-12-2018 00:00,,,
27687.47,07-12-2018 00:00,,,
38301.48,08-12-2018 00:00,,,
19660.26,09-12-2018 00:00,,,
13428.1,10-12-2018 00:00,,,
4016.4,11-12-2018 00:00,,,
7991.67,12-12-2018 00:00,,,
10833.74,13-12-2018 00:00,,,
7904.17,14-12-2018 00:00,,,
9786.74,15-12-2018 00:00,,,
18491.36,16-12-2018 00:00,,,
13634.41,17-12-2018 00:00,,,
12626.6,18-12-2018 00:00,,,
14313.08,19-12-2018 00:00,,,
12327.88,20-12-2018 00:00,,,
20774.61,21-12-2018 00:00,,,
18345.04,22-12-2018 00:00,,,
24570.47,23-12-2018 00:00,,,
22128,24-12-2018 00:00,,,
17382.48,25-12-2018 00:00,,,
45459.1,26-12-2018 00:00,,,
47717.29,27-12-2018 00:00,,,
39352.78,28-12-2018 00:00,,,
44219.99,29-12-2018 00:00,,,
34959.52,30-12-2018 00:00,,,
15711.36,31-12-2018 00:00,15711.36,15711.36,15711.36
,01-01-2019 00:00,30181.00794,48548.26194,11813.75394
,02-01-2019 00:00,33543.56615,52164.17456,14922.95774
,03-01-2019 00:00,27672.04424,46542.60585,8801.482628
,04-01-2019 00:00,27736.99127,46854.23829,8619.744253
,05-01-2019 00:00,32015.5386,51376.32814,12654.74906
,06-01-2019 00:00,34550.12831,54151.43464,14948.82199
,07-01-2019 00:00,25051.02132,44889.92874,5212.113895
,08-01-2019 00:00,30181.00794,50544.38314,9817.632736
,09-01-2019 00:00,33543.56615,54135.75126,12951.38104
,10-01-2019 00:00,27672.04424,48490.52463,6853.563855
,11-01-2019 00:00,27736.99127,48779.33343,6694.649113
,12-01-2019 00:00,32015.5386,53279.38589,10751.6913
,13-01-2019 00:00,34550.12831,56033.19699,13067.05964
